2026-05-01 08:00:12 | torno_principal | access | INFO | U001 | acceso_polvorin | - | torno_01 | allowed | Acceso autorizado con tarjeta
2026-05-01 08:05:40 | lector_tarjeta_d01 | access | INFO | U001 | deposito_01 | D01 | lector_d01 | allowed | Acceso autorizado al depósito 01
2026-05-01 08:07:15 | sensor_magnetico_d01 | intrusion | WARNING | - | deposito_01 | D01 | magnetico_d01 | opened | Apertura de puerta
2026-05-01 08:07:20 | volumetrico_d01 | intrusion | WARNING | - | acceso_deposito_01 | D01 | volumetrico_d01 | detected | Movimiento detectado
2026-05-01 08:09:20 | sensor_temp_d01 | environment | WARNING | - | deposito_01 | D01 | temp_d01 | high | Temperatura elevada (38.5ºC)
2026-05-01 08:09:30 | sensor_hum_d01 | environment | WARNING | - | deposito_01 | D01 | hum_d01 | high | Humedad elevada (82%)
2026-05-01 08:12:00 | modulo_conexiones_d01 | system | ERROR | - | deposito_01 | D01 | modulo_d01 | failed | Fallo de comunicación con sensores
2026-05-01 09:00:00 | sistema_electrico | power | CRITICAL | - | edificio_tecnico | - | red_general | down | Caída de suministro eléctrico
2026-05-01 09:00:05 | grupo_electrogeno | power | INFO | - | edificio_tecnico | - | generador_01 | activated | Activación automática del generador
2026-05-01 07:31:12 | torno_principal | access | INFO | U002 | acceso_polvorin | - | torno_01 | allowed | Acceso autorizado con tarjeta
2026-05-01 07:33:45 | torno_principal | access | INFO | U003 | acceso_polvorin | - | torno_01 | allowed | Acceso autorizado con tarjeta
2026-05-01 07:35:02 | torno_principal | access | INFO | U004 | acceso_polvorin | - | torno_01 | allowed | Acceso autorizado con tarjeta
2026-05-01 07:38:16 | torno_principal | access | INFO | U005 | acceso_polvorin | - | torno_01 | allowed | Acceso autorizado con tarjeta
2026-05-01 07:41:22 | torno_principal | access | INFO | U006 | acceso_polvorin | - | torno_01 | allowed | Acceso autorizado con tarjeta
2026-05-01 07:45:11 | torno_principal | access | INFO | U007 | acceso_polvorin | - | torno_01 | allowed | Acceso autorizado con tarjeta
2026-05-01 07:47:50 | torno_principal | access | INFO | U008 | acceso_polvorin | - | torno_01 | allowed | Acceso autorizado con tarjeta
2026-05-01 07:49:13 | torno_principal | access | WARNING | U015 | acceso_polvorin | - | torno_01 | denied | Acceso denegado por credencial inválida
2026-05-01 07:50:40 | camara_perimetral_01 | system | INFO | - | perimetro_norte | - | camara_01 | active | Cámara operativa
2026-05-01 07:52:05 | camara_perimetral_02 | system | INFO | - | perimetro_sur | - | camara_02 | active | Cámara operativa
2026-05-01 08:15:10 | lector_tarjeta_d02 | access | INFO | U002 | deposito_02 | D02 | lector_d02 | allowed | Acceso autorizado al depósito 02
2026-05-01 08:17:42 | lector_tarjeta_d03 | access | INFO | U003 | deposito_03 | D03 | lector_d03 | allowed | Acceso autorizado al depósito 03
2026-05-01 08:20:55 | lector_tarjeta_d04 | access | INFO | U004 | deposito_04 | D04 | lector_d04 | allowed | Acceso autorizado al depósito 04
2026-05-01 08:25:10 | lector_tarjeta_d05 | access | WARNING | U009 | deposito_05 | D05 | lector_d05 | denied | Acceso denegado al depósito 05
2026-05-01 08:30:22 | sensor_temp_d02 | environment | INFO | - | deposito_02 | D02 | temp_d02 | normal | Temperatura correcta (21.4ºC)
2026-05-01 08:31:10 | sensor_hum_d02 | environment | INFO | - | deposito_02 | D02 | hum_d02 | normal | Humedad correcta (45%)
2026-05-01 08:35:50 | sensor_temp_d03 | environment | INFO | - | deposito_03 | D03 | temp_d03 | normal | Temperatura correcta (20.8ºC)
2026-05-01 08:36:15 | sensor_hum_d03 | environment | INFO | - | deposito_03 | D03 | hum_d03 | normal | Humedad correcta (48%)
2026-05-01 09:10:45 | lector_tarjeta_d06 | access | INFO | U010 | deposito_06 | D06 | lector_d06 | allowed | Acceso autorizado al depósito 06
2026-05-01 09:15:30 | sensor_magnetico_d06 | intrusion | INFO | - | deposito_06 | D06 | magnetico_d06 | closed | Puerta cerrada correctamente
2026-05-01 09:20:12 | volumetrico_d06 | intrusion | INFO | - | acceso_deposito_06 | D06 | volumetrico_d06 | idle | Sin movimiento detectado
2026-05-01 10:05:20 | sensor_temp_d07 | environment | WARNING | - | deposito_07 | D07 | temp_d07 | high | Temperatura elevada (37.8ºC)
2026-05-01 10:06:00 | sensor_hum_d07 | environment | WARNING | - | deposito_07 | D07 | hum_d07 | high | Humedad elevada (81%)
2026-05-01 10:20:30 | modulo_conexiones_d07 | system | ERROR | - | deposito_07 | D07 | modulo_d07 | failed | Fallo de comunicación con sensores
2026-05-01 11:12:55 | camara_perimetral_03 | intrusion | WARNING | - | perimetro_este | - | camara_03 | detected | Movimiento detectado en perímetro este
2026-05-01 11:13:20 | volumetrico_d08 | intrusion | WARNING | - | acceso_deposito_08 | D08 | volumetrico_d08 | detected | Movimiento detectado
